	blood_group	job	sex	name	company	race	ssn	birthdate	current_location
1779	A+	Naval architect	M	Michael Mejia	Carter-Robinson	Black	332-72-1298	16 May 1931	(Decimal('-64.1019955'), Decimal('-122.977613'))
1780	O+	Chief Technology Officer	F	Donna Acosta	Robinson, Johnson and Harris	Indian	057-52-4512	02/29/1972, 00:00:00	(Decimal('-58.4047765'), Decimal('-38.963339'))
1781	AB+	Horticultural therapist	F	Sherry Haas	Mercer, Wiggins and Chan	White	341-43-9701	1976-03-04	(Decimal('-83.527385'), Decimal('-137.500825'))
1782	AB-	Solicitor	F	Sharon Cunningham	Smith-Green	Black	298-19-1501	2000/05/01	(Decimal('25.1582955'), Decimal('-12.075861'))
1783	AB-	Archivist	F	Michele Wagner	Barajas-Jones	White	186-71-1767	2019-09-14	(Decimal('-9.9625905'), Decimal('28.415220'))
1784	B+	Therapist, sports	F	Tonya Tate	Wood-Hicks	Black	554-01-1521	21 Jul 1980	(Decimal('62.933410'), Decimal('42.595042'))
1785	O-	Engineer, civil (consulting)	M	David Ware	Goodwin Group	Black	021-13-1039	17 Sep 1931	(Decimal('-64.5121925'), Decimal('100.302538'))
1786	O-	Restaurant manager	F	Denise Malone	Alexander, Clark and Johnston	White	557-39-9440	24 Feb 1991	(Decimal('-84.635975'), Decimal('-104.368574'))
1787	B-	Clinical molecular geneticist	F	Deanna Warner	Johnson-Rangel	Asian	813-35-8981	2004/06/28	(Decimal('-54.401228'), Decimal('125.752989'))
1788	B+	Conservator, furniture	M	Douglas Proctor	Baker LLC	White	481-34-1444	26 Mar 1910	(Decimal('-0.8952705'), Decimal('-86.852898'))
1789	O+	Engineer, aeronautical	F	Barbara Lewis	Oneal-Johnson	White	270-37-1502	2007/03/26	(Decimal('58.008516'), Decimal('-118.479521'))
1790	AB+	Barista	F	Ashley Moon	Moses LLC	White	636-69-0595	11/05/1952, 00:00:00	(Decimal('24.1952535'), Decimal('-24.172271'))
1791	A+	Nature conservation officer	M	John Scott	Simmons-Lewis	White	429-52-6923	12 Jul 2021	(Decimal('-30.2175535'), Decimal('-40.510444'))
1792	O-	Health promotion specialist	F	Shelley Wilson	Brown-Holden	White	836-96-1009	04/12/1993, 00:00:00	(Decimal('-5.742196'), Decimal('-18.869215'))
1793	A+	Physicist, medical	F	Maria Thompson	Roberson-Simpson	Asian	499-40-3943	1949/11/27	(Decimal('-77.4818605'), Decimal('-44.388001'))
1794	O-	Scientist, audiological	M	James Bradford	Small-Taylor	Black	701-81-0225	07/24/1955, 00:00:00	(Decimal('-0.250902'), Decimal('-37.288411'))
1795	B-	Engineer, agricultural	F	Michelle Lewis	Phillips, Perry and Wilson	White	050-25-4810	1926-01-02	(Decimal('30.3123875'), Decimal('-74.426911'))
1796	B-	Accommodation manager	M	John Orozco	Perez PLC	black	129-20-9580	1996-10-18	(Decimal('80.3839045'), Decimal('-19.722236'))
1797	A+	Plant breeder/geneticist	M	Andrew King	Spencer, Collins and Walker	Black	481-99-7401	1956-02-15	(Decimal('-22.3881005'), Decimal('-7.240011'))
1798	AB-	Operational researcher	F	Paula Gray MD	Gonzalez and Sons	Hawaiian	741-08-3382	12/23/1969, 00:00:00	(Decimal('74.1840625'), Decimal('-103.258232'))
1799	O+	Environmental education officer	M	Michael Soto	Cox-Hughes	White	131-09-9053	1920-03-31	(Decimal('-88.9278065'), Decimal('107.922272'))
1800	AB-	Fine artist	M	Scott Richard	Wyatt-Ballard	Indian	295-17-7858	1961-03-04	(Decimal('-88.465776'), Decimal('-76.232512'))
1801	O+	Interpreter	M	Adam Swanson	Brown, Brown and Patterson	Black	494-80-9817	1927/02/18	(Decimal('-39.865616'), Decimal('-170.328899'))
1802	B-	Herpetologist	M	Mr. Daniel Burns	Ingram-White	White	533-21-6465	12 Jan 2018	(Decimal('82.8438265'), Decimal('-44.141818'))
1803	AB+	Risk manager	F	Andrea Rodriguez	Burgess PLC	blsck	606-91-2767	08/27/1938, 00:00:00	(Decimal('65.218984'), Decimal('-94.399588'))
1804	O-	Merchandiser, retail	M	Brandon Wong	Oliver, Mcconnell and Li	White	282-68-1629	1986/08/16	(Decimal('-76.961404'), Decimal('88.979679'))
1805	B+	Restaurant manager	M	Michael Carroll	Oliver, Wood and Rocha	White	834-52-2889	1962-03-20	(Decimal('75.762388'), Decimal('-69.224307'))
1806	A+	Equality and diversity officer	M	Jeff Mack	Green, Taylor and Stone	White	052-56-6330	1927/01/22	(Decimal('-16.242338'), Decimal('179.943579'))
1807	AB-	Intelligence analyst	M	Austin Odonnell	Jones-Schneider	Black	779-73-4916	1976/05/05	(Decimal('30.5765755'), Decimal('-116.820546'))
1808	AB-	Waste management officer	F	Kathryn Freeman	Williams-Young	White	203-68-4087	26 Jul 1946	(Decimal('55.501796'), Decimal('-48.895231'))
1809	B+	Equality and diversity officer	F	Meghan Garner	Thompson, Byrd and Snyder	Black	011-38-1168	11 Jan 1998	(Decimal('21.0097965'), Decimal('-112.984974'))
1810	AB+	Tourist information centre manager	M	Timothy Flores	Smith-Mcgee	Hawaiian	279-10-3040	1928-07-11	(Decimal('-41.4662625'), Decimal('-125.321872'))
1811	AB+	Statistician	F	Andrea Frazier	Harper-Rice	White	464-59-8221	1993-05-30	(Decimal('31.0654725'), Decimal('39.467569'))
1812	B+	Social research officer, government	M	Dr. David Davenport	Larson, Fernandez and White	Black	536-07-0768	03/29/2016, 00:00:00	(Decimal('-25.8175365'), Decimal('-24.140171'))
1813	O-	Actor	F	Cindy Johnson	Anderson and Sons	Asian	071-76-8257	16 Aug 1985	(Decimal('61.959438'), Decimal('174.786478'))
1814	O+	Estate agent	F	Heather Clarke	Richards Ltd	White	344-41-0365	05 Sep 1983	(Decimal('28.580549'), Decimal('167.183928'))
1815	A+	Probation officer	F	Jennifer Roberson	Cervantes, Schmidt and Barry	Black	139-97-0509	21 May 1924	(Decimal('-48.2147245'), Decimal('136.922449'))
1816	O+	Academic librarian	M	Rodney Martin	Downs, Flores and Johnson	White	763-09-4910	08 Aug 1993	(Decimal('42.9835865'), Decimal('169.681828'))
1817	O+	Pilot, airline	F	Kimberly Walters	Dickson Inc	White	086-58-4835	27 Oct 1927	(Decimal('71.2758295'), Decimal('109.347587'))
1818	A-	Insurance claims handler	F	Jessica Mathews	Luna-Mccall	Asian	653-09-3769	2021-08-21	(Decimal('64.917448'), Decimal('-137.140256'))
1819	A+	Engineer, water	M	Charles Villarreal	Torres-Chan	Hawaiian	721-64-2222	1945/05/27	(Decimal('62.7756135'), Decimal('10.555926'))
1820	B+	Arboriculturist	M	Paul Anderson	Christensen LLC	Black	603-04-3767	1946-01-21	(Decimal('-88.222436'), Decimal('90.539205'))
1821	A+	Agricultural consultant	F	Elizabeth Pope	Smith-Padilla	Asian	175-26-5583	06 Apr 1927	(Decimal('17.5468345'), Decimal('-122.558204'))
1822	AB-	Civil engineer, contracting	F	Linda Mcdonald	Evans-Short	White	643-60-3876	09/16/1915, 00:00:00	(Decimal('71.269353'), Decimal('-69.633973'))
1823	B+	Geoscientist	F	Kathryn Ramsey	Monroe PLC	Black	595-41-6445	1966/01/26	(Decimal('40.498074'), Decimal('95.738098'))
1824	A+	Sound technician, broadcasting/film/video	F	Misty Conrad	Park LLC	White	361-43-6732	1966/04/11	(Decimal('-48.9745225'), Decimal('98.509435'))
1825	A+	Horticulturist, commercial	M	Mr. Charles Cook MD	Walker, Fischer and Chambers	White	874-29-9931	04/25/1911, 00:00:00	(Decimal('-32.1260105'), Decimal('87.140871'))
1826	O-	Civil Service administrator	F	Elizabeth Summers	Gibson-Fleming	Asian	265-05-5637	29 Feb 1944	(Decimal('55.554770'), Decimal('5.469165'))
1827	O-	Pensions consultant	M	Ronald Munoz	Brown Group	White	647-95-2658	10/17/1905, 00:00:00	(Decimal('-47.739515'), Decimal('-28.787273'))
1828	B-	Printmaker	F	Lauren Norris	Rodriguez, Harrington and Martin	White	333-21-3236	04/05/2018, 00:00:00	(Decimal('-86.3372335'), Decimal('103.836792'))
1829	O-	General practice doctor	F	Vanessa Mcintosh	Mccormick-Crawford	White	882-28-1322	10 Nov 2001	(Decimal('85.939328'), Decimal('-69.022656'))
1830	A+	Civil engineer, contracting	M	Michael Quinn	Freeman, Fleming and Terry	black	012-69-8017	1998/05/19	(Decimal('-8.370231'), Decimal('-37.149772'))
1831	O-	Government social research officer	M	Glenn Ball	Guerrero, Guzman and Ross	Black	498-11-0479	30 Jan 1953	(Decimal('58.521598'), Decimal('-40.165289'))
1832	A-	Accountant, chartered certified	M	Dustin Pratt	Carlson-Martin	Black	088-14-7579	2004-09-16	(Decimal('-19.5447955'), Decimal('-107.109070'))
1833	A+	Engineer, drilling	F	Amanda Palmer	Henry LLC	black	244-07-3255	05 Nov 1965	(Decimal('-66.8402795'), Decimal('161.712131'))
1834	B-	Careers adviser	F	Erica Berg	Johnson-Prince	Black	245-60-5007	1940-09-19	(Decimal('46.0828255'), Decimal('-140.858620'))
1835	B+	Control and instrumentation engineer	F	Amy Simpson	Macias-Decker	White	457-52-5950	14 Nov 1999	(Decimal('-57.8238855'), Decimal('25.073131'))
1836	O+	Travel agency manager	F	Hannah Hill	Benson, Roberson and Alvarez	White	411-86-0323	1982/04/21	(Decimal('-22.634723'), Decimal('-40.862887'))
1837	AB-	Administrator, local government	F	Doris Richards	Montoya-Parker	White	081-15-5172	11/05/1996, 00:00:00	(Decimal('-72.5985585'), Decimal('-1.403234'))
1838	AB-	Arboriculturist	F	Kimberly Duncan	George Ltd	blsck	330-28-5023	07 Jan 1995	(Decimal('75.186607'), Decimal('74.862869'))
1839	AB-	Trade union research officer	M	Daniel Barton	Brady-Velez	White	415-36-4561	1960/11/26	(Decimal('-53.418000'), Decimal('93.472113'))
1840	O+	Exercise physiologist	M	Jason Hayes	Evans, Ochoa and Martinez	White	757-88-7456	30 Dec 1954	(Decimal('-87.6823115'), Decimal('111.431057'))
1841	AB+	Horticulturist, commercial	M	Adam Cunningham	Herring, Phillips and Ward	Black	729-25-6316	19 Sep 1926	(Decimal('85.703930'), Decimal('135.565701'))
1842	B-	Programme researcher, broadcasting/film/video	F	Emily Nelson	Conley-Williams	black	683-71-8924	19 Dec 2001	(Decimal('47.152524'), Decimal('-102.178139'))
1843	AB-	Data scientist	F	Stephanie Joseph	Lopez, Johnson and Cain	Asian	393-07-3842	19 May 2016	(Decimal('0.0580735'), Decimal('16.410921'))
1844	AB-	Advertising art director	F	Rebecca Malone	Escobar, Shaw and Costa	Black	116-27-1368	17 Dec 1977	(Decimal('43.6093055'), Decimal('-68.058132'))
1845	B+	Development worker, international aid	F	Vanessa Collins	Walls, West and Pineda	White	197-63-6798	31 Jul 2010	(Decimal('-51.2495725'), Decimal('98.248674'))
1846	O-	Administrator, charities/voluntary organisations	M	Derrick Murray	Scott, Carey and Jackson	White	079-60-9956	1958/06/07	(Decimal('6.626304'), Decimal('43.537737'))
1847	B+	Programme researcher, broadcasting/film/video	F	Alexa Anderson	Gregory Group	Black	403-76-9516	03/12/1990, 00:00:00	(Decimal('-55.404606'), Decimal('-77.275956'))
1848	B+	Fashion designer	M	Gregory Green	Novak-Quinn	White	142-02-4932	2000-04-01	(Decimal('9.6190825'), Decimal('-165.395286'))
1849	A+	Production manager	M	Matthew Davis	Guzman, Woods and Richards	Black	463-17-3024	31 Dec 2004	(Decimal('35.431320'), Decimal('130.133801'))
1850	O+	Chemical engineer	F	Janet Burch	Evans, Johnson and Rodriguez	Black	479-10-5880	25 Jul 2010	(Decimal('63.6135575'), Decimal('-93.968977'))
1851	AB+	Tourist information centre manager	F	Eileen Evans	Jones and Sons	White	514-57-3665	10/18/2012, 00:00:00	(Decimal('-70.0535855'), Decimal('-124.916790'))
1852	B+	Doctor, general practice	F	Stephanie Shannon	Graham-Kim	White	035-38-9542	18 Mar 1913	(Decimal('-26.2713025'), Decimal('-151.799500'))
1853	AB-	Risk manager	M	Thomas Martin	Wood, Williams and Peterson	White	188-24-3026	2017/09/10	(Decimal('5.323261'), Decimal('-74.378614'))
1854	A-	Occupational psychologist	F	Kimberly Morales	Moyer, Robinson and Watts	Black	503-48-8907	08/13/2001, 00:00:00	(Decimal('31.1313345'), Decimal('72.902226'))
1855	A-	Architect	M	Chase Sawyer	Shaw-Clements	Black	258-06-5059	2011-11-01	(Decimal('-88.2285225'), Decimal('23.840980'))
1856	AB+	Surveyor, building control	F	Kelly Armstrong	Anderson, Buchanan and Lane	White	140-04-7043	1979/04/26	(Decimal('-84.550934'), Decimal('-51.217997'))
1857	A-	Designer, furniture	F	Alexandria Knapp	Hood-Miller	White	366-67-6100	28 Aug 1959	(Decimal('-53.263243'), Decimal('-15.902132'))
1858	B+	English as a second language teacher	M	James Carter	Foster-Fields	Asian	472-89-7456	27 Nov 1947	(Decimal('9.2649065'), Decimal('-17.595837'))
1859	B-	Sports administrator	M	Jesse Rowe	Smith-Glover	White	672-88-5363	20 Feb 2020	(Decimal('-14.6461105'), Decimal('-11.568778'))
1860	B+	Administrator, local government	M	Mike Brown	Fernandez LLC	White	331-39-3592	1956/09/25	(Decimal('-40.4554675'), Decimal('1.926810'))
1861	AB+	Tax adviser	M	John Gill	Day Inc	White	878-09-3199	2019-12-21	(Decimal('-87.1340485'), Decimal('-19.591592'))
1862	O+	Petroleum engineer	M	Charles Vaughn	Boyd-Jennings	White	507-04-9422	1992-01-21	(Decimal('-82.1090195'), Decimal('-3.797477'))
1863	A+	Scientist, marine	F	Natalie Lopez	Brown PLC	White	036-09-1716	01 Jun 1949	(Decimal('59.4088645'), Decimal('58.221415'))
1864	B+	Clinical psychologist	M	Michael Lane	Chapman LLC	Black	105-16-5553	11/04/1989, 00:00:00	(Decimal('50.5487435'), Decimal('-61.495967'))
1865	B-	Land	F	Brittany Thompson	Price Group	White	628-11-2327	05/23/1977, 00:00:00	(Decimal('-55.3668605'), Decimal('24.340196'))
1866	B-	Engineering geologist	M	Timothy Cox	Everett-Lopez	White	692-46-4670	02/22/1910, 00:00:00	(Decimal('-38.746382'), Decimal('-28.151882'))
1867	O+	Dentist	M	Jordan Bryan MD	Medina-Jordan	Black	358-45-7756	1939/02/20	(Decimal('74.2410815'), Decimal('-145.402588'))
1868	B-	Chief Executive Officer	M	Andrew Hall	Wiggins, Richards and Cook	White	621-80-4951	11 Apr 1916	(Decimal('-8.0260675'), Decimal('18.831085'))
1869	AB-	Social research officer, government	F	Carla Baker	Castro-Williams	White	694-25-0434	02/12/1966, 00:00:00	(Decimal('-70.5418785'), Decimal('89.638694'))
1870	B+	Research scientist (physical sciences)	F	Sarah House	Hancock and Sons	Asian	801-25-1660	18 Nov 1909	(Decimal('87.031452'), Decimal('-9.444229'))
1871	O-	Brewing technologist	F	Ariana Murphy	Pratt, Zimmerman and Stevenson	White	090-42-7514	2009-03-12	(Decimal('6.9912025'), Decimal('43.672728'))
1872	B-	Regulatory affairs officer	M	Martin Carroll	Byrd Inc	White	356-58-6973	10/29/1993, 00:00:00	(Decimal('-80.958004'), Decimal('-95.384407'))
1873	B-	Illustrator	M	Nicholas Kelly	Yu and Sons	Indian	729-18-8652	05/16/1958, 00:00:00	(Decimal('-26.4625475'), Decimal('-23.385652'))
1874	A-	Surveyor, building	M	Jacob Poole	Yang-Craig	Asian	468-15-4790	30 Aug 1914	(Decimal('66.4661015'), Decimal('96.582052'))
1875	A+	Youth worker	M	Daniel Mendoza	Sanders, Lyons and Henderson	Indian	755-39-6869	05/11/2020, 00:00:00	(Decimal('38.3519615'), Decimal('153.562089'))
1876	AB+	Scientist, research (medical)	M	Timothy Maddox	Boyd-Le	White	566-78-0414	04/25/2001, 00:00:00	(Decimal('11.016581'), Decimal('-12.914970'))
1877	AB-	Arts administrator	F	Julie Roman	Sanchez Ltd	Asian	268-28-4201	09/18/1946, 00:00:00	(Decimal('17.304189'), Decimal('94.609802'))
1878	O+	Museum/gallery curator	F	Andrea Medina	James PLC	White	743-07-1596	2015/08/07	(Decimal('-71.9115395'), Decimal('145.591047'))
1879	B-	Claims inspector/assessor	M	Caleb Riley	Sanchez LLC	White	748-89-8459	01/06/2003, 00:00:00	(Decimal('36.7017945'), Decimal('-39.057380'))
1880	B+	Pharmacist, hospital	F	Kelly Sellers	Harris, Pierce and Ruiz	Hawaiian	140-95-3744	06/25/1972, 00:00:00	(Decimal('-43.3659275'), Decimal('-34.716456'))
1881	B-	Patent attorney	F	Jacqueline Andrews	Carr-Beltran	Black	867-23-5724	01/15/1960, 00:00:00	(Decimal('65.869867'), Decimal('112.694349'))
1882	AB+	Paediatric nurse	F	Cynthia Stone	Weber, Jackson and Boyd	White	732-47-1526	1993-02-16	(Decimal('0.529007'), Decimal('-74.740213'))
1883	AB-	Professor Emeritus	F	Olivia Moore	Francis-Williams	White	219-41-3757	2001-04-21	(Decimal('-80.6123775'), Decimal('-0.334061'))
1884	O+	Automotive engineer	F	Melissa Ayers	Cole-White	White	637-77-2180	1913-02-26	(Decimal('-57.6904855'), Decimal('65.251991'))
1885	O+	Mudlogger	F	Christina Henry	Daniels, Long and Smith	Asian	383-94-2204	1946-03-25	(Decimal('-28.3027195'), Decimal('11.816714'))
1886	B+	Broadcast engineer	M	Austin Jacobson	Scott-Wilson	Black	262-71-2504	06 Sep 1964	(Decimal('9.445218'), Decimal('154.920105'))
1887	A-	Astronomer	F	Michelle Burnett	King, Noble and Pope	Asian	655-54-8376	1973/06/20	(Decimal('-4.102828'), Decimal('138.004401'))
1888	A+	Best boy	M	Marcus Martinez PhD	Medina-Kelley	White	453-86-4176	1972-05-01	(Decimal('38.302717'), Decimal('79.100006'))
1889	AB-	Gaffer	M	Jonathan Bennett	Clark, Ryan and Moran	Indian	667-77-4857	02 Feb 1923	(Decimal('89.241471'), Decimal('135.377244'))
1890	A+	Advertising account executive	M	Mathew Marsh	Morales-Larson	White	882-28-9409	10/25/1969, 00:00:00	(Decimal('-84.0887095'), Decimal('109.304011'))
1891	A+	Scientist, forensic	M	Bryan Tucker	Dillon, Hawkins and Swanson	Black	661-17-9170	1995-11-04	(Decimal('-38.0856465'), Decimal('45.996603'))
1892	B+	Research officer, trade union	F	Becky Wong	Schroeder and Sons	Asian	203-07-8309	11 Aug 2007	(Decimal('16.216016'), Decimal('-118.838502'))
1893	B-	Publishing copy	M	Calvin Garcia DDS	Austin-Jones	White	281-03-5773	03/08/1948, 00:00:00	(Decimal('-17.924328'), Decimal('102.670720'))
1894	AB-	Medical sales representative	M	Ryan Watson	Coleman-Mitchell	White	828-02-8853	1960/03/21	(Decimal('27.233473'), Decimal('27.332563'))
1895	AB+	Fashion designer	M	Kevin Logan	Madden-Ward	Black	882-87-5694	1939/08/19	(Decimal('5.565825'), Decimal('-163.541685'))
1896	B-	Forensic scientist	M	Mike Williams	Bartlett, Bailey and Velez	blsck	350-22-8210	02/22/1979, 00:00:00	(Decimal('35.477239'), Decimal('-42.835588'))
1897	A-	Control and instrumentation engineer	M	James Webb	Johnson-Diaz	Black	678-90-4507	1941-01-01	(Decimal('64.2936715'), Decimal('120.892077'))
1898	AB-	Chemist, analytical	F	Megan White	Palmer-Johnson	Black	306-98-4448	1965/12/05	(Decimal('-67.923918'), Decimal('-38.825489'))
1899	AB-	Health promotion specialist	F	Amber Chandler	Kelly Ltd	White	844-41-1488	1937-03-18	(Decimal('43.486175'), Decimal('131.934025'))
1900	O-	Mechanical engineer	F	Holly Crawford	Gonzalez, Green and West	White	722-32-9905	17 Sep 1986	(Decimal('23.225433'), Decimal('-109.742114'))
1901	O+	Teacher, early years/pre	M	Daniel Anderson	Boyd-Barker	Black	518-05-7972	2011-10-10	(Decimal('3.955872'), Decimal('167.041548'))
1902	AB-	Production assistant, television	F	Catherine Dominguez	Parker Inc	Black	485-40-4182	1922/12/30	(Decimal('53.2303055'), Decimal('178.491350'))
1903	B-	Conservation officer, nature	F	Andrea Keith	Gilbert, Young and Massey	Black	344-45-1958	1961-06-24	(Decimal('-51.972460'), Decimal('-0.756564'))
1904	B-	Ophthalmologist	F	Cynthia Zimmerman	Adkins LLC	black	647-95-3824	02 Jan 1969	(Decimal('-63.209551'), Decimal('130.215275'))
1905	A+	Quality manager	M	Carlos Russell	Hahn-Wallace	White	130-17-2477	1970-09-09	(Decimal('-30.4768685'), Decimal('-179.340133'))
1906	O-	Community education officer	F	Laura Scott	Brown-Brady	White	826-18-4006	1979-05-08	(Decimal('49.5903745'), Decimal('-71.108236'))
1907	B+	Marine scientist	F	Ashley Miles	Williams, Drake and Reyes	White	064-87-0431	1918/01/07	(Decimal('64.1024505'), Decimal('-70.792297'))
1908	B+	Visual merchandiser	M	Paul Mccormick	Silva and Sons	White	767-55-5329	08/25/1988, 00:00:00	(Decimal('81.738819'), Decimal('59.609745'))
1909	AB+	Landscape architect	F	Megan Patterson	Harrison and Sons	White	465-03-2104	05 Nov 1949	(Decimal('-43.229584'), Decimal('23.584624'))
1910	B+	Advertising copywriter	M	Adrian Williams	Ramirez PLC	Black	035-17-1272	1969-09-01	(Decimal('-38.9027955'), Decimal('17.952344'))
1911	AB-	Engineer, aeronautical	M	Nicholas Thompson	Walker-Brandt	White	155-68-4186	29 Mar 1906	(Decimal('-35.1703515'), Decimal('43.259690'))
1912	AB-	Economist	M	Robert Robles	Knapp Ltd	White	093-22-0317	1950/11/23	(Decimal('-84.290674'), Decimal('134.211811'))
1913	A-	Advertising account planner	F	Alexa Walsh	Mejia-Singh	White	643-54-7000	1907/08/17	(Decimal('-42.8864675'), Decimal('35.797680'))
1914	AB-	Sport and exercise psychologist	F	Loretta Cameron	Lambert, Mitchell and Butler	White	515-03-0355	1909-04-25	(Decimal('-75.231486'), Decimal('100.124544'))
1915	AB+	Investment banker, operational	F	Kristin Cook	Peterson, Yates and Gillespie	White	713-72-7173	09/09/1946, 00:00:00	(Decimal('66.9930675'), Decimal('76.439712'))
1916	AB+	Ecologist	F	Nicole Harris	Leblanc-Brown	White	129-52-6041	05 Feb 1950	(Decimal('-89.0963905'), Decimal('-76.676730'))
1917	AB+	Careers information officer	F	Kara Bradley	Miller Ltd	White	449-19-1384	1933-07-19	(Decimal('72.017914'), Decimal('120.038866'))
1918	O-	Nurse, learning disability	M	Brandon Griffin	Spence, Mason and Gray	White	806-75-0220	1919/11/07	(Decimal('82.4641385'), Decimal('58.745842'))
1919	A-	Accountant, chartered	M	Justin Ayers	Vasquez, Bradford and Davis	White	426-70-6598	19 Oct 2008	(Decimal('86.3868245'), Decimal('60.280918'))
1920	A+	Sound technician, broadcasting/film/video	M	Kevin Vaughan	Howard-Hubbard	White	720-84-9261	1993-08-13	(Decimal('-80.860641'), Decimal('-4.105226'))
1921	O-	Podiatrist	M	John Boyer	Kaufman Group	White	859-44-8724	1928/03/18	(Decimal('-64.615288'), Decimal('-86.037308'))
1922	A+	Licensed conveyancer	F	Megan Williams	Sanders, Bailey and Johnson	Indian	125-85-4887	2012/02/22	(Decimal('-23.9513625'), Decimal('-32.183641'))
1923	O+	Recruitment consultant	F	Bianca Sims	Young-Everett	Black	694-01-7274	14 Sep 1975	(Decimal('-17.609526'), Decimal('-72.731069'))
1924	O+	Careers adviser	F	Stephanie Hill	Jones-Douglas	Black	720-31-1836	2015/03/21	(Decimal('-84.1841225'), Decimal('34.960616'))
1925	B+	Environmental manager	F	Erin Guerra	Rivera, Duke and Fuentes	White	698-25-1059	2009/10/07	(Decimal('-57.5043375'), Decimal('3.475542'))
1926	O-	Research scientist (physical sciences)	M	Christopher Decker	Robbins-Mcdaniel	White	780-74-9421	1920-08-25	(Decimal('-83.688363'), Decimal('-84.269869'))
1927	A-	Radiographer, diagnostic	F	April Ford	Wolfe-Ross	White	370-47-6852	11 Apr 1946	(Decimal('22.249344'), Decimal('33.297833'))
1928	O-	Psychotherapist, child	F	Miss Jasmine Roach	Taylor Ltd	White	626-99-0206	1954/05/05	(Decimal('27.136927'), Decimal('-27.935784'))
1929	B+	Insurance claims handler	F	April Erickson	Young-Morgan	White	898-13-6363	04/12/1994, 00:00:00	(Decimal('-78.406210'), Decimal('70.743086'))
1930	A-	Ophthalmologist	F	Kimberly Butler	Cochran-King	Indian	607-64-7115	15 Jun 1963	(Decimal('-7.256139'), Decimal('102.864409'))
1931	O-	Sales executive	M	Victor Richmond	Harris LLC	White	033-28-7024	16 Dec 1960	(Decimal('23.4821065'), Decimal('-173.240609'))
1932	B-	Colour technologist	M	David Wright	Tucker PLC	White	581-10-1993	2000-03-07	(Decimal('25.8057275'), Decimal('-107.483048'))
1933	AB+	Special educational needs teacher	M	Travis Taylor	Fields, Morris and Schwartz	Asian	782-80-6229	1935/08/20	(Decimal('29.882050'), Decimal('48.755974'))
1934	B-	Geochemist	F	Pamela Chambers	Case-Hamilton	Black	553-58-6251	03/29/1928, 00:00:00	(Decimal('-56.216650'), Decimal('-48.302700'))
1935	AB+	Investment analyst	M	Kyle Jones	Wilcox, Harris and Johnson	White	226-45-5482	23 Dec 1965	(Decimal('41.4006075'), Decimal('-61.179886'))
1936	B-	Conservation officer, nature	M	Charles Garcia	Stanton Ltd	White	643-62-7830	1924-05-26	(Decimal('-28.650104'), Decimal('4.125193'))
1937	AB+	Retail merchandiser	M	Douglas Smith	Richmond, Nguyen and Briggs	White	181-39-7421	21 Nov 1907	(Decimal('2.1613755'), Decimal('126.496746'))
1938	B+	Chief Strategy Officer	F	Amanda Jacobson	Hicks Ltd	Hawaiian	021-35-4076	1932/05/15	(Decimal('49.101045'), Decimal('-55.987783'))
1939	A+	Engineer, technical sales	F	Veronica Elliott	Holmes Inc	White	325-12-1416	2005-06-24	(Decimal('0.918736'), Decimal('95.017641'))
1940	O-	Doctor, hospital	F	Stephanie Cook	Smith, Weiss and Coffey	White	701-04-8509	1983/10/19	(Decimal('35.618432'), Decimal('-40.863456'))
1941	O+	Horticultural therapist	M	Eric Banks	Nguyen, Rubio and Rich	black	286-85-7157	16 Apr 1974	(Decimal('63.4398665'), Decimal('126.585676'))
1942	O+	Operational investment banker	M	Raymond Singh	Taylor PLC	Hawaiian	849-34-8624	23 Aug 2016	(Decimal('-86.1522365'), Decimal('133.775374'))
1943	AB+	Scientist, research (maths)	F	Linda Zimmerman	Lewis-Wood	White	788-62-5445	20 Jun 1995	(Decimal('-33.974150'), Decimal('-30.083573'))
1944	B+	Neurosurgeon	M	Joseph White	Anderson, Roberts and Sherman	Hawaiian	659-77-8458	2011-10-25	(Decimal('-81.9773035'), Decimal('-102.882642'))
1945	AB+	Agricultural consultant	F	Heather Robinson	Carroll-Perez	Black	771-97-1791	1989-02-04	(Decimal('7.705397'), Decimal('-125.856066'))
1946	O-	Surveyor, building	F	Joy Nguyen	Wilcox PLC	Black	271-10-2098	1971-10-07	(Decimal('49.9009455'), Decimal('-160.674481'))
1947	B-	Patent examiner	F	Brandi Martinez	Nelson LLC	White	048-71-4673	03 Jun 1949	(Decimal('-13.540680'), Decimal('-14.123036'))
1948	O-	Mudlogger	F	Belinda Williams	Thompson, Evans and Myers	Asian	302-68-4893	08/05/1908, 00:00:00	(Decimal('43.241261'), Decimal('-170.314422'))
1949	AB+	Chiropractor	M	Kevin Brown	Hill Ltd	black	314-61-7288	1979-11-23	(Decimal('26.7923825'), Decimal('-91.785254'))
1950	B-	Historic buildings inspector/conservation officer	F	Erin Curry	Johnson, Mullins and Salinas	Black	815-95-2419	27 Aug 1968	(Decimal('-51.883593'), Decimal('53.882100'))
1951	A+	Fast food restaurant manager	M	Ronald Mitchell	Davies Ltd	White	488-98-0862	12 Sep 1966	(Decimal('-23.782665'), Decimal('-9.236905'))
1952	AB+	Multimedia specialist	F	Hailey May	Lucero and Sons	White	506-88-1092	12 Sep 2002	(Decimal('-24.8972515'), Decimal('-171.152817'))
